"name","type","brand","model","specs"
"Gigabyte GA-Z170XP-SLI","Motherboard","Gigabyte","GA-Z170XP-SLI","Socket: LGA 1151, Chipset: Intel Z170"
"Asus Z170M-Plus","Motherboard","Asus","Z170M-Plus","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock AB350M-HDV","Motherboard","Asrock","AB350M-HDV","Socket: AM4, Chipset: AMD B350"
"MSI B450 Tomahawk","Motherboard","MSI","B450 Tomahawk","Socket: AM4, Chipset: AMD B450"
"Asrock B250 Pro4","Motherboard","Asrock","B250 Pro4","Socket: LGA 1151, Chipset: Intel B250"
"MSI B250M Pro-VD","Motherboard","MSI","B250M Pro-VD","Socket: LGA 1151, Chipset: Intel B250"
"MSI B350M Pro-VDH","Motherboard","MSI","B350M Pro-VDH","Socket: AM4, Chipset: AMD B350"
"Maxsun MS-B250MD4 Turbo","Motherboard","Maxsun","MS-B250MD4 Turbo","Socket: LGA 1151, Chipset: Intel B250"
"Asus ROG Maximus VII Formula","Motherboard","Asus","ROG Maximus VII Formula","Socket: LGA 1150, Chipset: Intel Z97"
"Asus Prime Z370-A","Motherboard","Asus","Prime Z370-A","Socket: LGA 1151, Chipset: Intel Z370"
"Asus B150M Pro Gaming","Motherboard","Asus","B150M Pro Gaming","Socket: LGA 1151, Chipset: Intel B150"
"Gigabyte B360M Gaming HD","Motherboard","Gigabyte","B360M Gaming HD","Socket: LGA 1151, Chipset: Intel B360"
"Asus Z170-Deluxe","Motherboard","Asus","Z170-Deluxe","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte GA-H270-Gaming 3","Motherboard","Gigabyte","GA-H270-Gaming 3","Socket: LGA 1151, Chipset: Intel H270"
"Gigabyte GA-B150M-HD3","Motherboard","Gigabyte","GA-B150M-HD3","Socket: LGA 1151, Chipset: Intel B150"
"Asus X99-Deluxe","Motherboard","Asus","X99-Deluxe","Socket: LGA 2011-3, Chipset: Intel X99"
"Asus Prime Z270-AR","Motherboard","Asus","Prime Z270-AR","Socket: LGA 1151, Chipset: Intel Z270"
"MSI MPG Z390 Gaming Edge AC","Motherboard","MSI","MPG Z390 Gaming Edge AC","Socket: LGA 1151, Chipset: Intel Z390"
"Asus ROG Maximus II Formula","Motherboard","Asus","ROG Maximus II Formula","Socket: LGA 775, Chipset: Intel P45"
"Biostar H110MHV3","Motherboard","Biostar","H110MHV3","Socket: LGA 1151, Chipset: Intel H110"
"Asrock Z270 Pro4","Motherboard","Asrock","Z270 Pro4","Socket: LGA 1151, Chipset: Intel Z270"
"Biostar Hi-Fi A70U3P Rev. 1.0","Motherboard","Biostar","Hi-Fi A70U3P Rev. 1.0","Socket: FM2+, Chipset: AMD A70M"
"MSI Z370 PC Pro","Motherboard","MSI","Z370 PC Pro","Socket: LGA 1151, Chipset: Intel Z370"
"Gigabyte B360N Wifi","Motherboard","Gigabyte","B360N Wifi","Socket: LGA 1151, Chipset: Intel B360"
"Biostar A320MH PRO","Motherboard","Biostar","A320MH PRO","Socket: AM4, Chipset: AMD A320"
"Asus Prime X370-Pro","Motherboard","Asus","Prime X370-Pro","Socket: AM4, Chipset: AMD X370"
"Asus Sabertooth 990FX R2.0","Motherboard","Asus","Sabertooth 990FX R2.0","Socket: AM3+, Chipset: AMD 990FX"
"Asus ROG Strix Z390-H Gaming","Motherboard","Asus","ROG Strix Z390-H Gaming","Socket: LGA 1151, Chipset: Intel Z390"
"Gigabyte GA-Z270-Gaming K3","Motherboard","Gigabyte","GA-Z270-Gaming K3","Socket: LGA 1151, Chipset: Intel Z270"
"MSI Z170A Gaming M3","Motherboard","MSI","Z170A Gaming M3","Socket: LGA 1151, Chipset: Intel Z170"
"Gigabyte B550I Aorus Pro AX","Motherboard","Gigabyte","B550I Aorus Pro AX","Socket: AM4, Chipset: AMD B550"
"Asus ROG Maximus VII Ranger","Motherboard","Asus","ROG Maximus VII Ranger","Socket: LGA 1150, Chipset: Intel Z97"
"Asus ROG Maximus V Gene","Motherboard","Asus","ROG Maximus V Gene","Socket: LGA 1155, Chipset: Intel Z77"
"Gigabyte GA-H110M-H","Motherboard","Gigabyte","GA-H110M-H","Socket: LGA 1151, Chipset: Intel H110"
"MSI B450M Bazooka Plus","Motherboard","MSI","B450M Bazooka Plus","Socket: AM4, Chipset: AMD B450"
"Biostar TB250-BTC","Motherboard","Biostar","TB250-BTC","Socket: LGA 1151, Chipset: Intel B250"
"Gigabyte GA-AX370-Gaming K7","Motherboard","Gigabyte","GA-AX370-Gaming K7","Socket: AM4, Chipset: AMD X370"
"Gigabyte Z370 Aorus Ultra Gaming","Motherboard","Gigabyte","Z370 Aorus Ultra Gaming","Socket: LGA 1151, Chipset: Intel Z370"
"Asus ROG Maximus VI Extreme","Motherboard","Asus","ROG Maximus VI Extreme","Socket: LGA 1150, Chipset: Intel Z87"
"Asrock H110M-DS/Hyper","Motherboard","Asrock","H110M-DS/Hyper","Socket: LGA 1151, Chipset: Intel H110"
"MSI MPG Z390 Gaming Pro Carbon AC","Motherboard","MSI","MPG Z390 Gaming Pro Carbon AC","Socket: LGA 1151, Chipset: Intel Z390"
"Asrock A320M-DVS R4.0","Motherboard","Asrock","A320M-DVS R4.0","Socket: AM4, Chipset: AMD A320"
"MSI B350 Tomahawk","Motherboard","MSI","B350 Tomahawk","Socket: AM4, Chipset: AMD B350"
"Gigabyte GA-H110M-S2PH","Motherboard","Gigabyte","GA-H110M-S2PH","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte Z370 Aorus Gaming 7","Motherboard","Gigabyte","Z370 Aorus Gaming 7","Socket: LGA 1151, Chipset: Intel Z370"
"Asrock A320M-DGS","Motherboard","Asrock","A320M-DGS","Socket: AM4, Chipset: AMD A320"
"Gigabyte X299 UD4 Pro","Motherboard","Gigabyte","X299 UD4 Pro","Socket: LGA 2066, Chipset: Intel X299"
"ECS H110M4-C43","Motherboard","ECS","H110M4-C43","Socket: LGA 1151, Chipset: Intel H110"
"Gigabyte GA-Z170-D3H","Motherboard","Gigabyte","GA-Z170-D3H","Socket: LGA 1151, Chipset: Intel Z170"
"Asrock B550M Steel Legend","Motherboard","Asrock","B550M Steel Legend","Socket: AM4, Chipset: AMD B550"
"Gigabyte GA-AB350M-HD3","Motherboard","Gigabyte","GA-AB350M-HD3","Socket: AM4, Chipset: AMD B350"
"Fujitsu D3400-B2","Motherboard","Fujitsu","D3400-B2","Socket: LGA 1151, Chipset: Intel H110"
"Asus ROG Maximus III Gene","Motherboard","Asus","ROG Maximus III Gene","Socket: LGA 1156, Chipset: Intel P55"
